,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amount in 000's,,"Kindly do not edit - This sheet is automated, You may use Filters",,,,,,,,,,,,,,,,,
2683,K-304-P004,"Kallyope, Inc",Confidence Pharmaceutical Research ((CFR)),Migraine,General Medicine,  $813 ,  $731 ,65,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $163 ,  $333 ,  $497 
2749,ALV-101-1,,Worldwide Clinical Trials,Obesity,General Medicine,"  $1,500 ",  $870 ,75,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $227 ,  $269 ,  $496 
2265,AIC316-01-III-01,AiCuris Anti-infectives Cures AG (AiCuris),IQVIA,HSV,Infectious Disease,"  $1,003 ",  $903 ,63,0,  - ,  - ,  - ,  - ,  - ,  - ,  $33 ,  $225 ,  $234 ,  $492 
2114,D7960C00012,AstraZeneca,IQVIA,Dyslipidemia,Cardiovascular,"  $1,197 ","  $1,197 ",0,65,  - ,  $12 ,  $410 ,  $368 ,  $789 ,  $118 ,  $93 ,  $192 ,  $76 ,  $480 
2513,K9531-3107,Kailera Therapeutics,IQVIA,Obesity,General Medicine,  $954 ,  $954 ,19,4,  - ,  - ,  - ,  - ,  - ,  $19 ,  $149 ,  $160 ,  $135 ,  $463 
2561,D7266C00001,AstraZeneca,None,CVOT,Cardiovascular,"  $2,742 ","  $1,204 ",115,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $161 ,  $285 ,  $446 
2031,AR882-301,Arthrosi,IQVIA,Gout,Rheumatoid and Autoimmune,"  $1,290 ","  $1,290 ",0,58,  $119 ,  $440 ,  $411 ,  $210 ,"  $1,180 ",  $166 ,  $184 ,  $69 ,  $2 ,  $421 
2283,D8750C00012,AstraZeneca,None,Obesity,General Medicine,"  $2,000 ",  $600 ,100,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $158 ,  $246 ,  $404 
2198,SPY002-072-201,Spyre Therapeutics,Parexel,Rheumatoid Arthritis,Rheumatoid and Autoimmune,  $695 ,  $695 ,3,32,  - ,  - ,  $108 ,  $169 ,  $277 ,  $186 ,  $91 ,  $66 ,  $58 ,  $400 
1819,C4771001,Pfizer,ICON,Clostridium Difficile,Vaccine-Other,"  $1,835 ","  $1,835 ",0,173,  $284 ,  $73 ,  $113 ,  $40 ,  $510 ,  $21 ,  $111 ,  $98 ,  $158 ,  $387 
1620,VAX31-105,Vaxcyte,PPD,Pneumococcal,Vaccine-Other,  $126 ,  $126 ,0,16,  - ,  - ,  - ,  - ,  - ,  $341 ,  $31 ,  $10 ,  - ,  $382 
1276,mRNA-1195-P101,Moderna,PPD,Epstein Barr,Vaccine-Other,"  $5,715 ","  $5,715 ",0,181,  $40 ,  $591 ,  $226 ,  $312 ,"  $1,169 ",  $139 ,  $62 ,  $57 ,  $73 ,  $331 
2643,EXPD-101-201,Expedition Therapeutics,IQVIA,COPD,Respiratory,  $362 ,  $326 ,13,0,  - ,  - ,  - ,  - ,  - ,  - ,  $79 ,  $197 ,  $41 ,  $317 
2218,K9531-3104 (PAB77690),Kailera Therapeutics,IQVIA,Obesity,General Medicine,  $527 ,  $527 ,8,7,  - ,  - ,  - ,  $17 ,  $17 ,  $84 ,  $85 ,  $72 ,  $75 ,  $316 
2647,TTP399-302,vTv Therapeutics,Medpace,Type 1 Diabetes,Endocrine & Metabolism,  $530 ,  $305 ,15,0,  - ,  - ,  - ,  - ,  - ,  $18 ,  $131 ,  $112 ,  $50 ,  $312 
2054,M25-191,Abbvie,(No Info),Psoriatic Arthritis,Rheumatoid and Autoimmune,  $519 ,  $519 ,0,12,  - ,  $26 ,  $122 ,  $138 ,  $287 ,  $113 ,  $99 ,  $74 ,  $22 ,  $307 
2214,D9640C00003,AstraZeneca,None,Rheumatoid Arthritis,Rheumatoid and Autoimmune,  $490 ,  $490 ,10,0,  - ,  - ,  - ,  - ,  - ,  $13 ,  $38 ,  $98 ,  $153 ,  $301 
