,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,ACT,ACT,ACT,ACT,ACT,FCST,FCST,FCST,FCST,FCST,FCST,FCST,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,28,2133,Non-Priority,FYU-981-CRYS-302,Crystal therapeutics,ICON,Gout,General Medicine,Non-Vaccine,1,12/5/2025,3,0,"3,380",100%,0%,0,0,100%,,"4,938","1,558","3,380",0,0,"-1,558",,"1,550",8,0,0,"3,380",0,0,0,0,0,0,0,,,,,"1,558","3,380",0,0,,"1,550",8,0,0,"3,380",0,0,0,0,0,0,0,"4,938",,0,0,0,0,0,0,0,0,0,0,0,0,,,,ICON,Other,,2133,FYU-981-CRYS-302,1550,Non-Priority
,29,2187,Non-Priority,C4771002,Pfizer,(No Info),Clostridium Difficile,Vaccine-Other,Vaccine,5,2/11/2026,832,423,"4,490,705",100%,0%,0,0,100%,,"2,054,287","124,886","504,504","609,643","815,254","2,436,418",,"50,105","36,127","38,654","86,908","235,097","182,499","198,614","208,764","202,264","256,036","275,190","284,028",,,,,"124,886","504,504","609,643","815,254",,"50,105","36,127","38,654","86,908","235,097","182,499","198,614","208,764","202,264","256,036","275,190","284,028","2,054,287",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Pfizer,,2187,C4771002,50105,Non-Priority
,30,2552,Non-Priority,J3R-MC-YDAF,Eli Lilly,(No Info),Obesity,Obesity,Non-Vaccine,1,2/12/2026,16,5,"266,048",100%,0%,0,0,100%,,"271,557","64,485","122,212","45,350","39,510","-5,510",,0,"12,644","51,841","46,297","62,595","13,320","14,560","15,080","15,710","15,700","12,350","11,460",,,,,"64,485","122,212","45,350","39,510",,0,"12,644","51,841","46,297","62,595","13,320","14,560","15,080","15,710","15,700","12,350","11,460","271,557",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2552,J3R-MC-YDAF,0,Non-Priority
,31,2217,Non-Priority,K9531-3103 (OAB58025),Kailera Therapeutics,IQVIA,Obesity,Obesity,Non-Vaccine,1,12/22/2025,10,33,"1,092,104",100%,0%,0,0,100%,,"711,907","129,104","229,841","199,720","153,242","380,197",,"32,843","50,812","45,449","46,706","135,068","48,067","66,323","71,939","61,458","58,718","42,437","52,087",,,,,"129,104","229,841","199,720","153,242",,"32,843","50,812","45,449","46,706","135,068","48,067","66,323","71,939","61,458","58,718","42,437","52,087","711,907",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,Other,,2217,K9531-3103 (OAB58025),32843,Non-Priority
,32,2218,Non-Priority,K9531-3104 (PAB77690),Kailera Therapeutics,IQVIA,Obesity,Obesity,Non-Vaccine,2,3/12/2026,29,9,"394,999",100%,0%,0,0,100%,,"291,690","83,806","105,924","50,459","51,501","103,309",,"28,900","39,946","14,960","22,936","62,706","20,282","16,690","17,902","15,867","13,166","18,982","19,353",,,,,"83,806","105,924","50,459","51,501",,"28,900","39,946","14,960","22,936","62,706","20,282","16,690","17,902","15,867","13,166","18,982","19,353","291,690",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,Other,,2218,K9531-3104 (PAB77690),28900,Non-Priority
,33,2291,Non-Priority,VP-VQW-765-3201,Vanda Pharmaceuticals Inc,None,SAD/MAD,Psychiatry,Non-Vaccine,1,2/17/2026,16,7,"48,473",100%,0%,0,0,100%,,"50,394","11,700",0,"28,654","10,040","-1,921",,"11,700",0,0,0,0,0,0,"12,874","15,780","6,921","3,119",0,,,,,"11,700",0,"28,654","10,040",,"11,700",0,0,0,0,0,0,"12,874","15,780","6,921","3,119",0,"50,394",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2291,VP-VQW-765-3201,11700,Non-Priority
,34,2513,Non-Priority,K9531-3107,Kailera Therapeutics,IQVIA,Obesity,Obesity,Non-Vaccine,1,2/18/2026,10,24,"739,151",100%,0%,0,0,100%,,"452,224","18,965","202,688","125,095","105,476","286,927",,"16,787",0,"2,178","114,965","34,952","52,771","55,747","34,193","35,155","36,459","29,429","39,588",,,,,"18,965","202,688","125,095","105,476",,"16,787",0,"2,178","114,965","34,952","52,771","55,747","34,193","35,155","36,459","29,429","39,588","452,224",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,Other,,2513,K9531-3107,16787,Non-Priority
,35,2544,Non-Priority,VYD2311-PREV-002,Ichnos Sciences,(No Info),COVID-19,Vaccine-COVID,Vaccine,7,1/22/2026,785,787,"10,571,406",100%,0%,0,0,100%,,"10,774,915","6,084,558","4,142,877","547,480",0,"-203,509",,"750,190","1,887,415","3,446,953","2,204,416","1,366,921","571,540","402,322","130,072","15,086",0,0,0,,,,,"6,084,558","4,142,877","547,480",0,,"750,190","1,887,415","3,446,953","2,204,416","1,366,921","571,540","402,322","130,072","15,086",0,0,0,"10,774,915",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Ichnos Sciences,,2544,VYD2311-PREV-002,750190,Non-Priority
,36,2214,Non-Priority,D9640C00003,AstraZeneca,None,Rheumatoid Arthritis,Rheumatology,Non-Vaccine,1,4/1/2026,13,9,"405,973",100%,0%,0,0,100%,,"245,912","13,050","53,460","57,131","122,271","160,061",,0,0,"13,050",0,"38,573","14,887","7,443","23,035","26,652","40,604","37,601","44,066",,,,,"13,050","53,460","57,131","122,271",,0,0,"13,050",0,"38,573","14,887","7,443","23,035","26,652","40,604","37,601","44,066","245,912",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,AstraZeneca,,2214,D9640C00003,0,Non-Priority
,37,2294,Non-Priority,WC45726(CT-388-106),Roche,ICON,Obesity,Obesity,Non-Vaccine,1,5/1/2026,10,10,"396,488",100%,0%,0,0,100%,,"199,123",0,"67,520","55,026","76,577","197,365",,0,0,0,"23,455","39,940","4,125","15,876","16,843","22,307","18,799","26,580","31,198",,,,,0,"67,520","55,026","76,577",,0,0,0,"23,455","39,940","4,125","15,876","16,843","22,307","18,799","26,580","31,198","199,123",,0,0,0,0,0,0,0,0,0,0,0,0,,,,ICON,Other,,2294,WC45726(CT-388-106),0,Non-Priority
