,,OK,,,,,,,,,Loaded,,,"23,053,624",,32.61%,"9,640,524","-6,100,817",,,"7,518,807",0,"291,231","2,432,472","4,795,104",,,0,0,0,"20,875","100,581","169,775","619,629","816,553","996,290","2,621,658","1,329,030","844,416",,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,ACT,ACT,ACT,ACT,ACT,FCST,FCST,FCST,FCST,FCST,FCST,FCST,,,,,,OK,,,,
,24,2635,Non-Priority,D7261C00004, AstraZeneca , Sponsor Initiated , Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,2,7/1/2026,10,4,"160,016",90%,0%,0,0,90%,"144,014","75,269",0,"2,068","24,079","49,122",,,0,0,0,0,0,"2,068","5,812","7,261","11,005","24,124","12,499","12,499",,,,,0,"2,068","24,079","49,122",,0,0,0,0,0,"2,068","5,812","7,261","11,005","24,124","12,499","12,499","75,269",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,AstraZeneca,,2635,D7261C00004,,Non-Priority
,25,2648,Non-Priority,TAK-360-2002, Takeda Pharmaceutical Company , Unknown , Narcolepsy NT1/NT2 ,Psychiatry,Non-Vaccine,1,6/1/2026,0,4,"167,868",90%,30%,"55,956","-50,360",60%,"100,721","100,721",0,"4,108","70,694","25,919",,,0,0,0,0,0,"4,108","24,442","21,072","25,180","21,072","4,847",0,,,,,0,"6,162","106,041","38,878",,0,0,0,0,0,"6,162","36,662","31,608","37,770","31,608","7,270",0,"151,081",,0,0,0,0,0,"-2,054","-12,221","-10,536","-12,590","-10,536","-2,423",0,,,,Other,Other,,2648,TAK-360-2002,,Non-Priority
,26,2660,Non-Priority,ML-007C-MA-212, Maplight Therapeutics , Syneos Health , Schizophrenia ,Psychiatry,Non-Vaccine,1,8/4/2026,0,4,"146,599",90%,0%,0,0,90%,"131,939","54,467",0,0,"19,873","34,594",,,0,0,0,0,0,0,0,"7,106","12,768","12,640","14,594","7,360",,,,,0,0,"19,873","34,594",,0,0,0,0,0,0,0,"7,106","12,768","12,640","14,594","7,360","54,467",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Syneos Health,Other,,2660,ML-007C-MA-212,,Non-Priority
,27,2666,Non-Priority,299GD201, Biogen , Unknown , Not Available in Atom , Endocrine & Metabolism ,Non-Vaccine,1,8/4/2026,2,1,"20,004",90%,0%,0,0,90%,"18,004","14,758",0,0,"7,186","7,573",,,0,0,0,0,0,0,0,"2,068","5,117","5,409","1,082","1,082",,,,,0,0,"7,186","7,573",,0,0,0,0,0,0,0,"2,068","5,117","5,409","1,082","1,082","14,758",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2666,299GD201,,Non-Priority
,28,2012,Non-Priority,FpA-AS-30093, Teva Pharmaceuticals ,PPD, Asthma ,Respiratory,Non-Vaccine,1,7/1/2026,5,5,"52,972",90%,0%,0,0,90%,"47,675","47,675",0,0,"31,126","16,549",,,0,0,0,0,0,0,"6,484","7,829","16,812","8,549","5,456","2,544",,,,,0,0,"31,126","16,549",,0,0,0,0,0,0,"6,484","7,829","16,812","8,549","5,456","2,544","47,675",,0,0,0,0,0,0,0,0,0,0,0,0,,,,PPD,Other,,2012,FpA-AS-30093,,Non-Priority
,29,2688,Non-Priority,FUZ-CT-001, Fuzzle Inc. , Unknown , Obesity ,Obesity,Non-Vaccine,1,6/5/2026,40,40,"41,920",100%,30%,"12,576","-12,576",70%,"29,344","29,344",0,"4,256","16,594","8,494",,,0,0,0,0,0,"4,256","7,624","4,927","4,043","3,900","3,569","1,025",,,,,0,"6,080","23,706","12,134",,0,0,0,0,0,"6,080","10,891","7,039","5,776","5,571","5,099","1,464","41,920",,0,0,0,0,0,"-1,824","-3,267","-2,112","-1,733","-1,671","-1,530",-439,,,,Other,Other,,2688,FUZ-CT-001,,Non-Priority
,30,2778,Non-Priority,308623,, IQVIA , MASH ,Endocrine & Metabolism,Non-Vaccine,1,7/10/2026,2,2,"64,396",90%,0%,0,0,90%,"57,956","18,008",0,0,"8,240","9,769",,,0,0,0,0,0,0,"1,868","3,443","2,929","3,848","3,637","2,284",,,,,0,0,"8,240","9,769",,0,0,0,0,0,0,"1,868","3,443","2,929","3,848","3,637","2,284","18,008",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,Other,,2778,308623,,Non-Priority
,31,2696,Non-Priority,382-201-00034, Otsuka , Syneos Health , General Anxiety Disorder ,Psychiatry,Non-Vaccine,1,8/12/2026,0,0,"100,000",90%,0%,0,0,90%,"90,000","75,368",0,0,"21,368","54,000",,,0,0,0,0,0,0,0,"5,807","15,561","15,561","21,620","16,819",,,,,0,0,"21,368","54,000",,0,0,0,0,0,0,0,"5,807","15,561","15,561","21,620","16,819","75,368",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Syneos Health,Other,,2696,382-201-00034,,Non-Priority
,32,2695,Non-Priority,382-201-00033, Otsuka , Syneos Health , General Anxiety Disorder ,Psychiatry,Non-Vaccine,1,8/12/2026,0,0,"80,000",90%,0%,0,0,90%,"72,000","69,561",0,0,"21,368","48,193",,,0,0,0,0,0,0,0,"5,807","15,561","15,561","21,620","11,012",,,,,0,0,"21,368","48,193",,0,0,0,0,0,0,0,"5,807","15,561","15,561","21,620","11,012","69,561",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Syneos Health,Other,,2695,382-201-00033,,Non-Priority
,33,2078,Non-Priority,NBI-1065845-MDD3025, Neurocrine Biosciences , Direct (No Info) , Major Depressive Disorder ,Psychiatry,Non-Vaccine,1,8/12/2026,10,3,"59,997",90%,0%,0,0,90%,"53,997","52,131",0,0,"21,254","30,877",,,0,0,0,0,0,0,0,"6,988","14,266","15,199","11,945","3,733",,,,,0,0,"21,254","30,877",,0,0,0,0,0,0,0,"6,988","14,266","15,199","11,945","3,733","52,131",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2078,NBI-1065845-MDD3025,,Non-Priority
,34,1997,Non-Priority,NBI-1065845-MDD3028, No Information , IQVIA , Major Depressive Disorder ,Psychiatry,Non-Vaccine,1,8/12/2026,10,0,"60,012",90%,0%,0,0,90%,"54,011","40,216",0,0,"19,387","20,829",,,0,0,0,0,0,0,0,"6,988","12,399","12,830","6,274","1,724",,,,,0,0,"19,387","20,829",,0,0,0,0,0,0,0,"6,988","12,399","12,830","6,274","1,724","40,216",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,Other,,1997,NBI-1065845-MDD3028,,Non-Priority
,35,1612,Non-Priority,218130, GSK ,(No Info), Influenza ,Vaccine-Influenza,Vaccine,7,10/1/2026,1170,885,"6,248,500",90%,65%,"4,512,806","-2,817,425",25%,"1,562,125","1,083,625",0,0,"35,000","1,048,625",,,0,0,0,0,0,0,0,0,"35,000","955,375","93,250",0,,,,,0,0,"126,000","3,775,050",,0,0,0,0,0,0,0,0,"126,000","3,439,350","335,700",0,"3,901,050",,0,0,0,0,0,0,0,0,"-91,000","-2,483,975","-242,450",0,,,,Other,GSK,,1612,218130,,Non-Priority
,36,2637,Priority,D7261C00002, AstraZeneca ,Unknown, Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,1,6/30/2026,4,0,"80,008",90%,0%,0,0,90%,"72,007","37,634",0,"2,068","11,005","24,561",,,0,0,0,0,0,"2,068","1,872","3,631","5,503","12,062","6,250","6,250",,,,,0,"2,068","11,005","24,561",,0,0,0,0,0,"2,068","1,872","3,631","5,503","12,062","6,250","6,250","37,634",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,AstraZeneca,,2637,D7261C00002,,2637
,37,2710,Priority,R5713-5715-ALG-2556, Regeneron ,Unknown, Birch Pollen Allergy ,Allergy/Immunology,Non-Vaccine,1,9/15/2026,4,0,"300,000",90%,0%,0,0,90%,"270,000","134,730",0,0,"4,680","130,050",,,0,0,0,0,0,0,0,0,"4,680","28,530","41,670","59,850",,,,,0,0,"4,680","130,050",,0,0,0,0,0,0,0,0,"4,680","28,530","41,670","59,850","134,730",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2710,R5713-5715-ALG-2556,,2710
,38,2770,Non-Priority,295449,,Parexel, COPD ,Respiratory,Non-Vaccine,2,7/14/2026,0,0,"234,512",90%,0%,0,0,90%,"211,061","71,045",0,"4,045","30,419","36,581",,,0,0,0,0,0,"4,045","10,675","13,698","6,046","12,463","16,760","7,358",,,,,0,"4,045","30,419","36,581",,0,0,0,0,0,"4,045","10,675","13,698","6,046","12,463","16,760","7,358","71,045",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Parexel,Other,,2770,295449,,Non-Priority
,39,2725,Non-Priority,EFC22927,,, COPD ,Respiratory,Non-Vaccine,1,10/1/2026,0,3,"60,000",90%,0%,0,0,90%,"54,000","46,173",0,0,0,"46,173",,,0,0,0,0,0,0,0,0,0,"11,666","18,000","16,507",,,,,0,0,0,"46,173",,0,0,0,0,0,0,0,0,0,"11,666","18,000","16,507","46,173",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2725,EFC22927,,Non-Priority
,40,2553,Non-Priority,306300, GSK , IQVIA , MASH ,Endocrine & Metabolism,Non-Vaccine,1,7/10/2026,6,0,"40,000",90%,0%,0,0,90%,"36,000","11,187",0,0,"5,960","5,227",,,0,0,0,0,0,0,"2,320","1,958","1,681","2,259","1,550","1,418",,,,,0,0,"5,960","5,227",,0,0,0,0,0,0,"2,320","1,958","1,681","2,259","1,550","1,418","11,187",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,GSK,,2553,306300,,Non-Priority
