,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amount in 000's,,"Kindly do not edit - This sheet is automated, You may use Filters",,,,,,,,,,,,,,,,,
1620,VAX31-105,Vaxcyte,PPD,Pneumococcal,Vaccine-Other,  $138 ,  $138 ,0,18,  - ,  - ,  - ,  - ,  - ,  $341 ,  $63 ,  $12 ,  $1 ,  $417 
1276,mRNA-1195-P101,Moderna,PPD,Epstein Barr,Vaccine-Other,"  $5,700 ","  $5,700 ",0,211,  $40 ,  $591 ,  $226 ,  $312 ,"  $1,169 ",  $139 ,  $123 ,  $54 ,  $69 ,  $385 
2630,TAK-360-2001,Takeda,Unknown,Narcolepsy NT1/NT2,CNS,  $334 ,  $334 ,4,0,  - ,  - ,  - ,  - ,  - ,  - ,  $27 ,  $137 ,  $195 ,  $359 
2643,EXPD-101-201,Expedition Therapeutics,IQVIA,COPD,Respiratory,  $366 ,  $358 ,13,0,  - ,  - ,  - ,  - ,  - ,  - ,  $64 ,  $233 ,  $51 ,  $348 
1613,218132,GSK,(No Info),Influenza,Vaccine-Influenza,  $585 ,  $497 ,90,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $344 ,  $344 
2507,2019nCoV-420,Novavax,ICON,COVID-19,Vaccine-COVID,  $398 ,  $398 ,0,0,  - ,  - ,  - ,  $96 ,  $96 ,  $132 ,  $164 ,  $26 ,  $11 ,  $332 
2287,NN9838-4968,Novo Norsdisk,(No Info),Obesity,General Medicine,  $788 ,  $788 ,4,3,  - ,  - ,  - ,  $12 ,  $12 ,  - ,  $121 ,  $132 ,  $69 ,  $321 
2301,2019nCoV-318,Novavax,PPD,COVID-19,Vaccine-COVID,"  $1,412 ","  $1,412 ",0,291,  - ,  - ,  - ,"  $1,296 ","  $1,296 ",  $159 ,  $138 ,  - ,  - ,  $297 
2142,VRB-101-201,Verdiva Bio,Parexel,Obesity,General Medicine,  $355 ,  $355 ,0,11,  - ,  - ,  - ,  $39 ,  $39 ,  $145 ,  $122 ,  $23 ,  - ,  $290 
2675,C6491014,Pfizer,Unknown,Obesity,General Medicine,"  $1,200 ","  $1,080 ",60,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $278 ,  $278 
2552,J3R-MC-YDAF,Eli Lilly,(No Info),Obesity,General Medicine,  $266 ,  $266 ,0,8,  - ,  - ,  - ,  - ,  - ,  $64 ,  $122 ,  $45 ,  $40 ,  $272 
2515,NN9490-8293,Novo Norsdisk,None,Obstructive Sleep Apnea,Respiratory,  $269 ,  $269 ,5,0,  - ,  - ,  - ,  - ,  - ,  - ,  $42 ,  $205 ,  $22 ,  $269 
2164,C4931020,Pfizer,(No Info),Pneumococcal,Vaccine-Other,  $300 ,  $300 ,0,19,  - ,  - ,  - ,  $22 ,  $22 ,  $145 ,  $52 ,  $61 ,  $8 ,  $266 
2054,M25-191,Abbvie,(No Info),Psoriatic Arthritis,Rheumatoid and Autoimmune,  $468 ,  $468 ,0,12,  - ,  $26 ,  $122 ,  $138 ,  $287 ,  $113 ,  $83 ,  $55 ,  $14 ,  $265 
2545,BHV2000-202,Biohaven,(No Info),Obesity,General Medicine,  $313 ,  $313 ,0,10,  - ,  - ,  - ,  $21 ,  $21 ,  $86 ,  $64 ,  $104 ,  $10 ,  $264 
2053,M25-056,Abbvie,(No Info),Rheumatoid Arthritis,Rheumatoid and Autoimmune,  $284 ,  $284 ,2,20,  - ,  $20 ,  $69 ,  $134 ,  $223 ,  $56 ,  $123 ,  $48 ,  $21 ,  $249 
2214,D9640C00003,AstraZeneca,None,Rheumatoid Arthritis,Rheumatoid and Autoimmune,  $406 ,  $406 ,8,2,  - ,  - ,  - ,  - ,  - ,  $13 ,  $53 ,  $57 ,  $122 ,  $246 
2509,GSBR-1290-17,"Gasherbrum Bio, Inc.",Parexel,Type 2 Diabetes,Endocrine & Metabolism,  $322 ,  $322 ,0,12,  - ,  - ,  - ,  $78 ,  $78 ,  $90 ,  $73 ,  $66 ,  $12 ,  $241 
1289,ITI-007-505,Intra-Cellular Therapies,IQVIA,Major Depressive Disorder,Psychiatry,  $366 ,  $366 ,9,10,  - ,  $4 ,  ($1),  - ,  $3 ,  - ,  - ,  $56 ,  $152 ,  $208 
1802,J4M-MC-PWMP,Lilly,PPD,Obesity,General Medicine,  $473 ,  $473 ,0,26,  $75 ,  $125 ,  $92 ,  $71 ,  $363 ,  $76 ,  $53 ,  $59 ,  $20 ,  $207 
2731,YN001-203,Beijing Inno Medicine,Fortrea,Atherosclerotic cardiovascular disease,Cardiovascular,  $600 ,  $510 ,30,,  - ,  - ,  - ,  - ,  - ,  - ,  $16 ,  $93 ,  $93 ,  $202 
2294,WC45726(CT-388-106),Roche,ICON,Obesity,General Medicine,  $396 ,  $396 ,10,2,  - ,  - ,  - ,  - ,  - ,  - ,  $68 ,  $55 ,  $77 ,  $199 
2286,D8750C00011,AstraZeneca,None,Obesity,General Medicine,  $800 ,  $240 ,40,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $78 ,  $121 ,  $199 
2623,D7260C00015,AstraZeneca,IQVIA,Obesity,General Medicine,"  $1,120 ",  $982 ,56,0,  - ,  - ,  - ,  - ,  - ,  - ,  $1 ,  $63 ,  $133 ,  $198 
2168,301160,GSK,IQVIA,MASH,Endocrine & Metabolism,"  $1,035 ","  $1,035 ",10,38,  - ,  - ,  - ,  $41 ,  $41 ,  $81 ,  ($0),  $40 ,  $66 ,  $187 
2603,821P203,Supernus Pharmaceuticals,Clinical Research Corp. (CRC),Major Depressive Disorder,Psychiatry,  $157 ,  $157 ,6,2,  - ,  - ,  - ,  - ,  - ,  $18 ,  $39 ,  $53 ,  $77 ,  $187 
2710,R5713-5715-ALG-2556,Regeneron,Unknown,Birch Pollen Allergy,Allergy/Immunology,  $600 ,  $360 ,30,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $5 ,  $174 ,  $178 
1888,D6973C00001,AstraZeneca,None,Cardiovascular Disease,Cardiovascular,  $257 ,  $257 ,7,10,  - ,  - ,  - ,  $16 ,  $16 ,  $56 ,  $35 ,  $63 ,  $23 ,  $178 
2284,D8750C00010,AstraZeneca,None,Obesity,General Medicine,  $800 ,  $240 ,40,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $67 ,  $105 ,  $173 
2298,VP-VHX-896-3201,Vanda Pharmaceuticals Inc,(No Info),Major Depressive Disorder,Psychiatry,  $243 ,  $243 ,4,4,  - ,  - ,  - ,  $13 ,  $13 ,  $17 ,  $51 ,  $26 ,  $78 ,  $172 
1687,AR882-302,Arthrosi,IQVIA,Gout,Rheumatoid and Autoimmune,"  $3,063 ","  $3,063 ",0,193,  $836 ,  $577 ,  $531 ,  $237 ,"  $2,182 ",  $159 ,  $12 ,  - ,  - ,  $170 
2548,ELV001-201,Eisai,Novotech,Rheumatoid Arthritis,Rheumatoid and Autoimmune,  $205 ,  $205 ,6,0,  - ,  - ,  - ,  - ,  - ,  $30 ,  $18 ,  $46 ,  $76 ,  $170 
2697,C4591083,Pfizer,Unknown,COVID-19,Vaccine-COVID,  $680 ,  $374 ,80,,  - ,  - ,  - ,  - ,  - ,  - ,  $23 ,  $72 ,  $72 ,  $167 
2073,GS-US-667-6882,Gilead Sciences,IQVIA,Rheumatoid Arthritis,Rheumatoid and Autoimmune,  $212 ,  $212 ,0,5,  - ,  $37 ,  $67 ,  $43 ,  $147 ,  $56 ,  $67 ,  $27 ,  $5 ,  $155 
2648,TAK-360-2002,Takeda,Unknown,Narcolepsy NT1/NT2,CNS,  $168 ,  $151 ,4,0,  - ,  - ,  - ,  - ,  - ,  - ,  $6 ,  $106 ,  $39 ,  $151 
2774,NOE115-VMS-202,Noema Pharma,,Vasomotor Symptoms,Women's Health,"  $1,536 ",  $461 ,77,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $67 ,  $84 ,  $151 
2645,"  223,957 ",GSK,Unknown,Asthma,Respiratory,  $160 ,  $144 ,8,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $51 ,  $90 ,  $141 
2646,K9531-2110,Kailera Therapeutics,IQVIA,,Endocrine & Metabolism,  $155 ,  $155 ,3,6,  - ,  - ,  - ,  - ,  - ,  $17 ,  $73 ,  $24 ,  $22 ,  $136 
2098,MK7240-013,Merck,(No Info),Ankylosing Spondylitis,Musculoskeletal,  $219 ,  $219 ,0,3,  - ,  - ,  $17 ,  $4 ,  $21 ,  $9 ,  $72 ,  $32 ,  $17 ,  $129 
1676,CVXGA-003,BARDA,Syneos Health,COVID-19,Vaccine-COVID,  $400 ,  $400 ,0,56,  $440 ,  $80 ,  $36 ,  $12 ,  $568 ,  $118 ,  ($0),  - ,  - ,  $117 
1988,NN9388-7864,Novo Norsdisk,(No Info),Diabetic Neuropathy,CNS,  $180 ,  $180 ,0,12,  - ,  $54 ,  $126 ,  $101 ,  $280 ,  $65 ,  $52 ,  $1 ,  - ,  $117 
2211,WA45846,Roche,IQVIA,Rheumatoid Arthritis,Rheumatoid and Autoimmune,  $101 ,  $101 ,3,5,  - ,  - ,  - ,  $34 ,  $34 ,  $36 ,  $47 ,  $29 ,  $2 ,  $113 
1284,1404-0040,Boehringer Ingelheim,Unknown,Obesity,General Medicine,  $735 ,  $735 ,0,14,  $64 ,  $72 ,  $79 ,  $66 ,  $280 ,  $78 ,  $9 ,  $18 ,  - ,  $105 
230,TA-8995-304,NewAmsterdam,Medpace,Hypercholesteromia,General Medicine,  $875 ,  $875 ,0,151,  $55 ,  $23 ,  $31 ,  $19 ,  $128 ,  $36 ,  $16 ,  $32 ,  $20 ,  $104 
