,,OK,,,,,,,,,,Loaded,,,"91,446,893",,9.86%,"4,901,698","-1,050,038",,,"9,018,658",0,"176,090","2,924,502","5,918,066",8010667.758,"-1,007,990",0,0,0,0,0,"176,090","337,279","1,187,949","1,399,274","1,757,032","1,980,981","2,180,052",,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,ACT,ACT,ACT,ACT,ACT,FCST,FCST,FCST,FCST,FCST,FCST,FCST,,,,,,,OK,,,,,
,27,2195,Non-Priority,D7130C00002,Existing, AstraZeneca ,None, Rheumatoid Arthritis ,Rheumatology,Non-Vaccine,3,11/6/2026,18,18,"360,000",5%,0%,0,0,5%,"18,000","2,900",0,0,0,"2,900","2,900",,0,0,0,0,0,0,0,0,0,0,"1,204","1,696",,,,,0,0,0,"2,900",,0,0,0,0,0,0,0,0,0,0,"1,204","1,696","2,900",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Other,301 Onwards,AstraZeneca,,2195,D7130C00002,,Non-Priority,2195
,28,2237,Non-Priority,J3L-MC-EZEF,Existing, Eli Lilly ,ICON, Atherosclerotic cardiovascular disease ,Cardiovascular,Non-Vaccine,6,11/7/2026,0,32,"640,000",5%,0%,0,0,5%,"32,000","1,514",0,0,0,"1,514",0,,0,0,0,0,0,0,0,0,0,0,629,886,,,,,0,0,0,"1,514",,0,0,0,0,0,0,0,0,0,0,629,886,"1,514",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,ICON,151 to 300 Days,Other,,2237,J3L-MC-EZEF,,Non-Priority,2237
,29,2286,Priority,D8750C00011,Existing, AstraZeneca ,None, Obesity ,Obesity,Non-Vaccine,10,8/1/2026,50,40,"800,000",30%,0%,0,0,30%,"240,000","199,121",0,0,"77,802","121,319","248,901",,0,0,0,0,0,0,0,"38,242","39,560","40,879","39,560","40,879",,,,,0,0,"77,802","121,319",,0,0,0,0,0,0,0,"38,242","39,560","40,879","39,560","40,879","199,121",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,151 to 300 Days,AstraZeneca,,2286,D8750C00011,,2286,2286
,30,2284,Priority,D8750C00010,Existing, AstraZeneca ,None, Obesity ,Obesity,Non-Vaccine,10,8/1/2026,50,40,"800,000",30%,0%,0,0,30%,"240,000","172,571",0,0,"67,429","105,143","215,714",,0,0,0,0,0,0,0,"33,143","34,286","35,429","34,286","35,429",,,,,0,0,"67,429","105,143",,0,0,0,0,0,0,0,"33,143","34,286","35,429","34,286","35,429","172,571",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,151 to 300 Days,AstraZeneca,,2284,D8750C00010,,2284,2284
,31,2283,Priority,D8750C00012,Existing, AstraZeneca ,None, Obesity ,Obesity,Non-Vaccine,10,8/1/2026,100,100,"2,000,000",40%,0%,0,0,40%,"800,000","539,286",0,0,"210,714","328,571","539,286",,0,0,0,0,0,0,0,"103,571","107,143","110,714","107,143","110,714",,,,,0,0,"210,714","328,571",,0,0,0,0,0,0,0,"103,571","107,143","110,714","107,143","110,714","539,286",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,151 to 300 Days,AstraZeneca,,2283,D8750C00012,,2283,2283
,32,2539,Non-Priority,XmAb13676-06,Existing,"Xencor, Inc", None , Rheumatoid Arthritis ,Rheumatology,Non-Vaccine,1,10/3/2026,0,5,"100,000",30%,0%,0,0,30%,"30,000","11,092",0,0,0,"11,092",0,,0,0,0,0,0,0,0,0,0,"3,403","3,782","3,908",,,,,0,0,0,"11,092",,0,0,0,0,0,0,0,0,0,"3,403","3,782","3,908","11,092",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,151 to 300 Days,Other,,2539,XmAb13676-06,,Non-Priority,2539
,33,2510,Non-Priority,SUM-191-01,Existing," Senju USA, Inc ", PPD , Bacterial Conjunctivitis , Ophthalmology ,Non-Vaccine,1,7/31/2026,1,1,"16,000",30%,0%,0,0,30%,"4,800","4,800",0,0,"4,800",0,"4,800",,0,0,0,0,0,0,0,"4,800",0,0,0,0,,,,,0,0,"4,800",0,,0,0,0,0,0,0,0,"4,800",0,0,0,0,"4,800",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,PPD,151 to 300 Days,Other,,2510,SUM-191-01,,Non-Priority,New
,34,2555,Non-Priority,BHV1300-302,Existing,Biohaven, (No Info) , Not Available in Atom , Endocrine & Metabolism ,Non-Vaccine,2,5/2/2026,2,2,"40,000",18%,0%,0,0,18%,"7,000","3,292",0,462,"1,415","1,415","3,292",,0,0,0,0,0,462,477,477,462,477,462,477,,,,,0,462,"1,415","1,415",,0,0,0,0,0,462,477,477,462,477,462,477,"3,292",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,151 to 300 Days,Other,,2555,BHV1300-302,,Non-Priority,2555
,35,2554,Non-Priority,BHV1300-301,Existing,Biohaven, (No Info) , Not Available in Atom , Endocrine & Metabolism ,Non-Vaccine,2,4/30/2026,2,2,"40,000",18%,0%,0,0,18%,"7,000","2,744",0,385,"1,179","1,179","2,744",,0,0,0,0,0,385,397,397,385,397,385,397,,,,,0,385,"1,179","1,179",,0,0,0,0,0,385,397,397,385,397,385,397,"2,744",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,151 to 300 Days,Other,,2554,BHV1300-301,,Non-Priority,2554
,36,2549,Priority,D740AC00001,Existing,AstraZeneca, Fortrea , Rheumatoid Arthritis ,Rheumatology,Non-Vaccine,1,4/28/2026,2,2,"40,000",30%,0%,0,0,30%,"12,000","7,055",0,989,"3,033","3,033","7,055",,0,0,0,0,0,989,"1,022","1,022",989,"1,022",989,"1,022",,,,,0,989,"3,033","3,033",,0,0,0,0,0,989,"1,022","1,022",989,"1,022",989,"1,022","7,055",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,151 to 300 Days,AstraZeneca,,2549,D740AC00001,,2549,2549
